  1 | supino-reto-barra | Supino reto com barra | Barbell Bench Press | Barbell Bench Press | Barra | Peitoral
 31 | crucifixo-inverso-halter | Crucifixo inverso com halteres | Bent Over Dumbbell Reverse Fly | Bent Over Dumbbell Reverse Fly | Halteres | Deltoide posterior
 32 | desenvolvimento-barra | Desenvolvimento com barra | Barbell Overhead Press | Barbell Overhead Press | Barra | Ombros
 33 | desenvolvimento-halteres | Desenvolvimento com halteres | Dumbbell Shoulder Press | Dumbbell Shoulder Press | Halteres | Ombros
 34 | desenvolvimento-maquina | Desenvolvimento na máquina | Machine Shoulder Press | Machine Shoulder Press | Máquina | Ombros
 35 | desenvolvimento-smith | Desenvolvimento no Smith | Smith Shoulder Press | Smith Shoulder Press | Smith | Ombros
 36 | arnold-press | Arnold press | Dumbbell Arnold Press | Dumbbell Arnold Press | Halteres | Ombros
 37 | elevacao-lateral-halteres | Elevação lateral com halteres | Dumbbell Lateral Raise | Dumbbell Lateral Raise | Halteres | Deltoide lateral
 38 | elevacao-lateral-cabo | Elevação lateral no cabo | Cable Lateral Raise | Cable Lateral Raise | Cabo | Deltoide lateral
 39 | elevacao-lateral-maquina | Elevação lateral na máquina | Machine Lateral Raise | Machine Lateral Raise | Máquina | Deltoide lateral
 40 | elevacao-lateral-inclinada-cabo | Elevação lateral inclinada no cabo | Leaning Cable Lateral Raise | Leaning Cable Lateral Raise | Cabo | Deltoide lateral
 41 | elevacao-frontal-halteres | Elevação frontal com halteres | Dumbbell Front Raise | Dumbbell Front Raise | Halteres | Deltoide anterior
 42 | elevacao-frontal-cabo | Elevação frontal no cabo | Cable Front Raise | Cable Front Raise | Cabo | Deltoide anterior
 43 | elevacao-frontal-barra | Elevação frontal com barra | Barbell Front Raise | Barbell Front Raise | Barra | Deltoide anterior
 44 | encolhimento-barra | Encolhimento com barra | Barbell Shrug | Barbell Shrug | Barra | Trapézio
 45 | encolhimento-halteres | Encolhimento com halteres | Dumbbell Shrug | Dumbbell Shrug | Halteres | Trapézio
 46 | encolhimento-maquina | Encolhimento na máquina | Machine Shrug | Machine Shrug | Máquina | Trapézio
 47 | encolhimento-trap-bar | Encolhimento com trap bar | Trap Bar Shrug | Trap Bar Shrug | Trap bar | Trapézio
 48 | rosca-direta-barra | Rosca direta com barra | Barbell Curl | Barbell Curl | Barra | Bíceps
 49 | rosca-direta-ez | Rosca direta com barra EZ | EZ Bar Curl | EZ Bar Curl | Barra EZ | Bíceps
 50 | rosca-alternada | Rosca alternada com halteres | Dumbbell Biceps Curl | Dumbbell Biceps Curl | Halteres | Bíceps
 51 | rosca-cabo | Rosca direta no cabo | Cable Biceps Curl | Cable Biceps Curl | Cabo | Bíceps
 52 | rosca-maquina | Rosca bíceps na máquina | Machine Biceps Curl | Machine Biceps Curl | Máquina | Bíceps
 53 | rosca-inclinada | Rosca inclinada com halteres | Incline Dumbbell Curl | Incline Dumbbell Curl | Halteres | Bíceps
 54 | rosca-bayesiana | Rosca bayesiana no cabo | Bayesian Cable Curl | Bayesian Cable Curl | Cabo | Bíceps
 55 | rosca-scott | Rosca Scott | Preacher Curl | Preacher Curl | Barra/Halter/Máquina | Bíceps
 56 | rosca-martelo | Rosca martelo | Dumbbell Hammer Curl | Dumbbell Hammer Curl | Halteres | Braquial/Braquiorradial
 57 | rosca-martelo-corda | Rosca martelo com corda | Cable Rope Hammer Curl | Cable Rope Hammer Curl | Cabo | Braquial/Braquiorradial
 58 | rosca-martelo-cruzada | Rosca martelo cruzada | Cross Body Hammer Curl | Cross Body Hammer Curl | Halteres | Braquial/Braquiorradial
 59 | rosca-inversa | Rosca inversa | Reverse Curl | Reverse Curl | Barra | Braquiorradial
 60 | triceps-barra-cabo | Tríceps barra no cabo | Cable Triceps Pushdown | Cable Triceps Pushdown | Cabo | Tríceps
 61 | triceps-corda | Tríceps corda | Cable Rope Triceps Pushdown | Cable Rope Triceps Pushdown | Cabo | Tríceps
 62 | triceps-v-bar | Tríceps V-bar | Cable V-Bar Pushdown | Cable V-Bar Pushdown | Cabo | Tríceps
 63 | triceps-unilateral-cabo | Tríceps unilateral no cabo | Single Arm Cable Pushdown | Single Arm Cable Pushdown | Cabo | Tríceps
 64 | triceps-frances-halter | Tríceps francês com halter | Dumbbell Overhead Triceps Extension | Dumbbell Overhead Triceps Extension | Halteres | Tríceps
 65 | triceps-corda-overhead | Tríceps corda acima da cabeça | Cable Rope Overhead Triceps Extension | Cable Rope Overhead Triceps Extension | Cabo | Tríceps
 66 | triceps-testa-ez | Tríceps testa com barra EZ | EZ Bar Skull Crusher | EZ Bar Skull Crusher | Barra EZ | Tríceps
 67 | triceps-testa-cabo | Tríceps testa no cabo | Cable Lying Triceps Extension | Cable Lying Triceps Extension | Cabo | Tríceps
 68 | supino-fechado | Supino pegada fechada | Close Grip Bench Press | Close Grip Bench Press | Barra | Tríceps
 69 | mergulho-paralelas | Mergulho nas paralelas | Bench/Parallel Dips | Bench/Parallel Dips | Peso corporal | Tríceps
 70 | mergulho-maquina | Mergulho na máquina | Machine Dip | Machine Dip | Máquina | Tríceps
 71 | flexao-fechada | Flexão pegada fechada | Close Grip Push-Up | Close Grip Push-Up | Peso corporal | Tríceps
 72 | agachamento-livre | Agachamento livre | Barbell Back Squat | Barbell Back Squat | Barra | Quadríceps
 73 | agachamento-frontal | Agachamento frontal | Barbell Front Squat | Barbell Front Squat | Barra | Quadríceps
 74 | agachamento-smith | Agachamento no Smith | Smith Squat | Smith Squat | Smith | Quadríceps
 75 | hack-squat | Hack squat | Hack Squat | Hack Squat | Máquina | Quadríceps
 76 | goblet-squat | Agachamento goblet | Dumbbell Goblet Squat | Dumbbell Goblet Squat | Halteres | Quadríceps
 77 | leg-press-45 | Leg press 45° | 45 Degree Leg Press | 45 Degree Leg Press | Máquina | Quadríceps
 78 | leg-press-horizontal | Leg press horizontal | Horizontal Leg Press | Horizontal Leg Press | Máquina | Quadríceps
 79 | pendulum-squat | Agachamento pêndulo | Pendulum Squat | Pendulum Squat | Máquina | Quadríceps
 80 | agachamento-bulgaro | Agachamento búlgaro | Bulgarian Split Squat | Bulgarian Split Squat | Halteres | Quadríceps/Glúteos
 81 | afundo | Afundo | Barbell/Dumbbell Lunge | Barbell/Dumbbell Lunge | Livre | Quadríceps/Glúteos
 82 | passada-reversa | Passada reversa | Reverse Lunge | Reverse Lunge | Livre | Quadríceps/Glúteos
 83 | step-up | Step-up | Dumbbell Step Up | Dumbbell Step Up | Banco/Halteres | Quadríceps/Glúteos
 84 | split-squat | Split squat | Split Squat | Split Squat | Livre | Quadríceps/Glúteos
 85 | cadeira-extensora | Cadeira extensora | Leg Extension | Leg Extension | Máquina | Quadríceps
 86 | extensora-unilateral | Cadeira extensora unilateral | Single Leg Extension | Single Leg Extension | Máquina | Quadríceps
 87 | sissy-squat | Sissy squat | Sissy Squat | Sissy Squat | Peso corporal | Quadríceps
 88 | stiff-barra | Stiff com barra | Barbell Straight Leg Deadlift | Barbell Straight Leg Deadlift | Barra | Posterior de coxa
 89 | terra-romeno-barra | Levantamento terra romeno com barra | Barbell Romanian Deadlift | Barbell Romanian Deadlift | Barra | Posterior de coxa
 90 | terra-romeno-halteres | Levantamento terra romeno com halteres | Dumbbell Romanian Deadlift | Dumbbell Romanian Deadlift | Halteres | Posterior de coxa
 91 | good-morning | Good morning | Barbell Good Morning | Barbell Good Morning | Barra | Posterior de coxa
 92 | mesa-flexora | Mesa flexora | Lying Leg Curl | Lying Leg Curl | Máquina | Posterior de coxa
 93 | cadeira-flexora | Cadeira flexora | Seated Leg Curl | Seated Leg Curl | Máquina | Posterior de coxa
 94 | flexora-em-pe | Flexora em pé unilateral | Standing Leg Curl | Standing Leg Curl | Máquina | Posterior de coxa
 95 | flexora-bola | Flexão de joelho na bola suíça | Swiss Ball Leg Curl | Swiss Ball Leg Curl | Bola suíça | Posterior de coxa
 96 | hip-thrust-barra | Hip thrust com barra | Barbell Hip Thrust | Barbell Hip Thrust | Barra | Glúteos
 97 | hip-thrust-smith | Hip thrust no Smith | Smith Hip Thrust | Smith Hip Thrust | Smith | Glúteos
 98 | hip-thrust-maquina | Hip thrust na máquina | Machine Hip Thrust | Machine Hip Thrust | Máquina | Glúteos
 99 | glute-bridge | Ponte de glúteos | Glute Bridge | Glute Bridge | Peso corporal | Glúteos
100 | coice-cabo | Coice no cabo | Cable Glute Kickback | Cable Glute Kickback | Cabo | Glúteos
101 | coice-maquina | Coice na máquina | Machine Glute Kickback | Machine Glute Kickback | Máquina | Glúteos
102 | coice-quatro-apoios | Coice em quatro apoios | Quadruped Hip Extension | Quadruped Hip Extension | Peso corporal | Glúteos
103 | cadeira-abdutora | Cadeira abdutora | Hip Abduction Machine | Hip Abduction Machine | Máquina | Glúteo médio
104 | abducao-cabo | Abdução de quadril no cabo | Cable Hip Abduction | Cable Hip Abduction | Cabo | Glúteo médio
105 | caminhada-lateral-elastico | Caminhada lateral com elástico | Lateral Band Walk | Lateral Band Walk | Elástico | Glúteo médio
106 | abducao-lateral-deitado | Abdução lateral deitado | Side Lying Hip Abduction | Side Lying Hip Abduction | Peso corporal | Glúteo médio
107 | cadeira-adutora | Cadeira adutora | Hip Adduction Machine | Hip Adduction Machine | Máquina | Adutores
108 | aducao-cabo | Adução de quadril no cabo | Cable Hip Adduction | Cable Hip Adduction | Cabo | Adutores
109 | copenhagen-plank | Copenhagen plank | Copenhagen Plank | Copenhagen Plank | Peso corporal | Adutores/Core
110 | panturrilha-maquina-em-pe | Panturrilha em pé na máquina | Standing Calf Raise | Standing Calf Raise | Máquina | Panturrilhas
111 | panturrilha-smith | Panturrilha em pé no Smith | Smith Standing Calf Raise | Smith Standing Calf Raise | Smith | Panturrilhas
112 | panturrilha-unilateral-halter | Panturrilha unilateral com halter | Single Leg Dumbbell Calf Raise | Single Leg Dumbbell Calf Raise | Halteres | Panturrilhas
113 | panturrilha-leg-press | Panturrilha no leg press | Leg Press Calf Raise | Leg Press Calf Raise | Máquina | Panturrilhas
114 | panturrilha-sentada | Panturrilha sentada | Seated Calf Raise | Seated Calf Raise | Máquina | Sóleo
115 | panturrilha-sentada-smith | Panturrilha sentada improvisada no Smith | Seated Smith Calf Raise | Seated Smith Calf Raise | Smith | Sóleo
116 | tibialis-raise | Elevação do tibial anterior | Tibialis Raise | Tibialis Raise | Peso corporal | Tibial anterior
117 | dorsiflexao-elastico | Dorsiflexão com elástico | Band Dorsiflexion | Band Dorsiflexion | Elástico | Tibial anterior
118 | abdominal-crunch | Abdominal crunch | Crunch | Crunch | Peso corporal | Abdômen
119 | crunch-cabo | Crunch no cabo | Cable Kneeling Crunch | Cable Kneeling Crunch | Cabo | Abdômen
120 | abdominal-maquina | Abdominal na máquina | Machine Crunch | Machine Crunch | Máquina | Abdômen
121 | crunch-declinado | Crunch declinado | Decline Crunch | Decline Crunch | Banco | Abdômen
122 | prancha | Prancha | Plank | Plank | Peso corporal | Core
123 | ab-wheel | Ab wheel | Ab Wheel Rollout | Ab Wheel Rollout | Roda abdominal | Core
124 | dead-bug | Dead bug | Dead Bug | Dead Bug | Peso corporal | Core
125 | body-saw | Body saw | Body Saw Plank | Body Saw Plank | Peso corporal | Core
126 | elevacao-pernas-barra | Elevação de pernas na barra | Hanging Leg Raise | Hanging Leg Raise | Barra fixa | Abdômen
127 | elevacao-joelhos-barra | Elevação de joelhos na barra | Hanging Knee Raise | Hanging Knee Raise | Barra fixa | Abdômen
128 | elevacao-joelhos-paralelas | Elevação de joelhos na cadeira romana | Captain Chair Knee Raise | Captain Chair Knee Raise | Cadeira romana | Abdômen
129 | crunch-reverso | Crunch reverso | Reverse Crunch | Reverse Crunch | Peso corporal | Abdômen
130 | woodchop-cabo | Woodchop no cabo | Cable Wood Chop | Cable Wood Chop | Cabo | Oblíquos
131 | russian-twist | Russian twist | Russian Twist | Russian Twist | Peso corporal/Peso | Oblíquos
132 | pallof-press | Pallof press | Pallof Press | Pallof Press | Cabo/Elástico | Core
133 | hiperextensao-45 | Hiperextensão 45° | 45 Degree Hyperextension | 45 Degree Hyperextension | Banco 45° | Eretores da coluna
134 | reverse-hyper | Reverse hyper | Reverse Hyperextension | Reverse Hyperextension | Máquina/Banco | Glúteos/Lombar
135 | bird-dog | Bird dog | Bird Dog | Bird Dog | Peso corporal | Core/Lombar
136 | rosca-punho-barra | Rosca de punho com barra | Barbell Wrist Curl | Barbell Wrist Curl | Barra | Antebraço
137 | rosca-punho-halteres | Rosca de punho com halteres | Dumbbell Wrist Curl | Dumbbell Wrist Curl | Halteres | Antebraço
138 | rosca-punho-cabo | Rosca de punho no cabo | Cable Wrist Curl | Cable Wrist Curl | Cabo | Antebraço
139 | rosca-punho-inversa-barra | Extensão de punho com barra | Barbell Reverse Wrist Curl | Barbell Reverse Wrist Curl | Barra | Antebraço
140 | rosca-punho-inversa-halter | Extensão de punho com halteres | Dumbbell Reverse Wrist Curl | Dumbbell Reverse Wrist Curl | Halteres | Antebraço
141 | rosca-punho-inversa-cabo | Extensão de punho no cabo | Cable Reverse Wrist Curl | Cable Reverse Wrist Curl | Cabo | Antebraço
142 | farmer-walk | Farmer's walk | Farmers Walk | Farmers Walk | Halteres | Pegada/Trapézio
143 | dead-hang | Dead hang | Dead Hang | Dead Hang | Barra fixa | Pegada/Dorsal
144 | plate-pinch | Plate pinch | Plate Pinch | Plate Pinch | Anilhas | Pegada
